omega_meV,alpha2F,lambda_cumulative_native,lambda_cumulative_rectangle
0.0904076,0.0,0.0,0.0
0.1808152,0.0,0.0,0.0
0.2712228,0.0,0.0,0.0
0.3616304,0.0,0.0,0.0
0.452038,0.0,0.0,0.0
0.5424457,0.0,0.0,0.0
0.6328533,0.0,0.0,0.0
0.7232609,0.0,0.0,0.0
0.8136685,0.0,0.0,0.0
0.9040761,0.0,0.0,0.0
0.9944837,0.0,0.0,0.0
1.0848913,0.0,0.0,0.0
1.1752989,0.0,0.0,0.0
1.2657065,0.0,0.0,0.0
1.3561141,0.0,0.0,0.0
1.4465217,0.0,0.0,0.0
1.5369293,0.0,0.0,0.0
1.627337,0.0,0.0,0.0
1.7177446,0.0,0.0,0.0
1.8081522,0.0,0.0,0.0
1.8985598,0.0,0.0,0.0
1.9889674,0.0,0.0,0.0
2.079375,0.0,0.0,0.0
2.1697826,0.0,0.0,0.0
2.2601902,0.0,0.0,0.0
2.3505978,0.0,0.0,0.0
2.4410054,0.0,0.0,0.0
2.531413,0.0,0.0,0.0
2.6218206,0.0,0.0,0.0
2.7122283,0.0,0.0,0.0
2.8026359,0.0,0.0,0.0
2.8930435,0.0,0.0,0.0
2.9834511,0.0,0.0,0.0
3.0738587,0.0,0.0,0.0
3.1642663,0.0,0.0,0.0
3.2546739,0.0,0.0,0.0
3.3450815,0.0,0.0,0.0
3.4354891,0.0,0.0,0.0
3.5258967,0.0,0.0,0.0
3.6163043,0.0,0.0,0.0
3.7067119,0.0,0.0,0.0
3.7971196,0.0,0.0,0.0
3.8875272,0.0,0.0,0.0
3.9779348,0.0,0.0,0.0
4.0683424,0.0,0.0,0.0
4.15875,0.0,0.0,0.0
4.2491576,1e-07,0.0,4.25531914372863e-09
4.3395652,3e-07,0.0,1.6755319152946145e-08
4.4299728,1.1e-06,1e-07,6.165327845418611e-08
4.5203804,3.1e-06,2e-07,1.8565327900281253e-07
4.610788,8.3e-06,5e-07,5.111434770860902e-07
4.7011956,2.1e-05,1.3e-06,1.3188357911008485e-06
4.7916032,4.96e-05,3.2e-06,3.1905339219644392e-06
4.8820109,0.00011,7.3e-06,7.264607957317371e-06
4.9724185,0.0002284,1.56e-05,1.5570062439300334e-05
5.0628261,0.0004442,3.14e-05,3.143434806083492e-05
5.1532337,0.0008092,5.98e-05,5.982733040016877e-05
5.2436413,0.001381,0.0001074,0.00010744801993909662
5.3340489,0.0022082,0.0001823,0.00018230225716548576
5.4244565,0.0033084,0.0002926,0.0002925822572468063
5.5148641,0.0046461,0.0004449,0.0004449134051303018
5.6052717,0.0061199,0.0006423,0.0006423295348951302
5.6956793,0.0075709,0.0008827,0.0008826755678733424
5.7860869,0.0088188,0.0011583,0.0011582630696642055
5.8764945,0.0097201,0.0014573,0.0014573430720053427
5.9669022,0.0102304,0.0017674,0.0017673551908483028
6.0573098,0.010447,0.0020792,0.002079205935201778
6.1477174,0.0106061,0.0023912,0.002391150051387483
6.238125,0.0110283,0.0027108,0.0027108109199073414
6.3285326,0.0120194,0.0030542,0.0030542223478276023
6.4189402,0.0137548,0.0034417,0.003441681502539877
6.5093478,0.0161883,0.0038914,0.003891356502871468
6.5997554,0.0190197,0.0044124,0.0044124441751465585
6.690163,0.0217453,0.0050002,0.0050001549878548645
6.7805706,0.0237835,0.0056344,0.005634381657327608
6.8709782,0.0246387,0.0062828,0.006282768503056526
6.9613858,0.0240462,0.0069073,0.006907345130632053
7.0517935,0.0220466,0.0074726,0.007472642562938159
7.1422011,0.0189617,0.0079527,0.007952685598466317
7.2326087,0.0152876,0.0083349,0.008334875596986724
7.3230163,0.0115495,0.0086201,0.008620048435729635
7.4134239,0.0081747,0.0088194,0.008819431362257681
7.5038315,0.0054203,0.00895,0.008950041000763163
7.5942391,0.0033666,0.0090302,0.009030198143679414
7.6846467,0.0019588,0.0090763,0.009076287555528086
7.7750543,0.0010676,0.0091011,0.009101115462576359
7.8654619,0.0005452,0.0091136,0.009113648795958771
7.9558695,0.0002614,0.0091196,0.009119589705078953
8.0462771,0.000119,0.0091223,0.009122263862398143
8.1366848,5.49e-05,0.0091235,0.009123483862391545
8.2270924,3.36e-05,0.0091242,0.009124222323926812
8.3175,4e-05,0.0091251,0.00912509188914136
8.4079076,7.32e-05,0.0091267,0.009126666082686226
8.4983152,0.0001441,0.0091297,0.009129732040129283
8.5887228,0.0002737,0.0091355,0.0091354941453911
8.6791304,0.0004932,0.0091458,0.009145769145398676
8.769538,0.0008427,0.0091631,0.009163144403159958
8.8599456,0.0013704,0.0091911,0.009191111750171966
8.9503532,0.0021302,0.0092341,0.009234146093758246
9.0407608,0.003181,0.0092978,0.009297766094039726
9.1311684,0.0045834,0.0093885,0.009388526490560408
9.2215761,0.0063937,0.0095139,0.009513893156639773
9.3119837,0.0086466,0.0096818,0.009681788301643396
9.4023913,0.0113265,0.0098996,0.009899605608724117
9.4927989,0.0143297,0.0101726,0.01017255227487323
9.5832065,0.0174362,0.0105015,0.010501537180204046
9.6736141,0.0203126,0.0108812,0.010881211946512087
9.7640217,0.0225645,0.0112991,0.01129907305793133
9.8544293,0.0238384,0.0117365,0.011736474893486141
9.9448369,0.0239442,0.0121718,0.012171823985445866
10.0352445,0.0229555,0.0125854,0.012585436599393877
10.1256521,0.0212443,0.0129648,0.012964799100922469
10.2160597,0.0194315,0.0133087,0.013308719456561072
10.3064674,0.0182642,0.0136291,0.01362914401664638
10.396875,0.018454,0.0139501,0.013950083146031623
10.4872826,0.0205169,0.0143038,0.01430382280034054
10.5776902,0.0246483,0.0147252,0.014725161261193878
10.6680978,0.0306534,0.0152447,0.01524471041330768
10.7585054,0.0379449,0.0158824,0.015882439825048673
10.848913,0.0456132,0.0166427,0.016642659825609262
10.9393206,0.0525666,0.0175115,0.017511529248399455
11.0297282,0.0577237,0.0184578,0.018457819414461587
11.1201358,0.0602239,0.0194371,0.019437069823889278
11.2105434,0.0596066,0.0203985,0.02039846660165037
11.300951,0.0559112,0.021293,0.02129304580560835
11.3913587,0.0496637,0.0220814,0.022081358501142217
11.4817663,0.0417519,0.0227389,0.022738868735461472
11.5721739,0.0332239,0.023258,0.023257992171848953
11.6625815,0.0250732,0.0236467,0.023646723954248054
11.7529891,0.0180703,0.0239247,0.023924728569443436
11.8433967,0.0126811,0.0241183,0.02411833314960265
11.9338043,0.0090721,0.0242558,0.024255789210310068
